Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
790402,Bilal,Intro (Bilal / 1st Born Second),1WN0aznrI7vtBb7mUbtkYF,16,2001,soul,0.602,0.326,1,-13.81,1,0.39,0.115,5.12e-06,0.139,0.38,99.993,104908,3
356924,Xande De Pilares,Gratidão,0TdVVky1bm2HnamYfkk8X7,45,2018,samba,0.626,0.749,0,-6.105,1,0.102,0.408,0.0,0.0783,0.921,75.79,243072,4
1431133,The Dirt Daubers,Single Girl,3iI2hXvQzHtSVkxKZwCfXD,18,2011,goth,0.69,0.872,0,-2.924,1,0.0316,0.199,0.0019,0.32,0.757,147.955,116000,4
1303600,AFI,End Transmission,3x5SiKbgSLUTnWCAZIXc50,35,2009,metal,0.539,0.789,1,-5.454,1,0.0254,0.00039,0.00781,0.288,0.537,95.022,226173,4
340767,Chronus,Avarice,4J8Yz8Jehz1nGLomZctGbJ,1,2018,heavy-metal,0.294,0.934,11,-4.997,1,0.0416,0.000201,0.00609,0.179,0.353,93.278,311560,4
582467,Aníbal Troilo,Milongueando en el 40,1gXau0fJwO6euvJUmsn0La,0,2022,tango,0.835,0.41,4,-10.807,1,0.0703,0.962,0.841,0.35,0.867,132.824,154738,4
799932,Ruthie Foster,Death Came A-Knockin (Travelin' Shoes),2glS4lKTAoEnIL8QSJS6eL,19,2002,blues,0.744,0.283,8,-10.337,1,0.0816,0.753,0.0,0.276,0.609,105.099,202199,4
6270,Malente,I'll Be There - Original Mix,5oBf7rcnBOqVXh2BrZC5xI,0,2012,breakbeat,0.814,0.905,7,-5.719,1,0.167,0.0355,0.34,0.11,0.265,126.978,259098,4
934113,Demarkus Lewis,Lazy Eye,1EdKnFbMI58BkaP7xs1imA,0,2004,deep-house,0.799,0.754,6,-12.663,1,0.077,0.000224,0.948,0.114,0.778,122.008,442131,4
634595,Black Legend,You See the Trouble with Me - We'll Be In Trouble Radio Edit,6ybxuYMCIKJMBfCIEWLTlc,49,2000,disco,0.59,0.952,6,-7.867,1,0.0347,0.0182,0.575,0.655,0.559,124.975,294377,4
385201,Floating Points,"Apoptose, Pt. 1",1oNjTrKNySpxpAha9vHR2C,31,2019,electronic,0.435,0.641,4,-17.653,0,0.0764,0.209,0.868,0.0827,0.15,161.208,155067,4
61415,Stephanie Cheng,愛得起,03s9Oz6wG5lLR6PQ4gb6mv,10,2013,cantopop,0.705,0.521,2,-8.573,0,0.0285,0.29,0.0,0.137,0.664,131.979,253613,4
609990,Claude VonStroke,Greasy Beat (feat. Bootsy Collins) - Robag Wruhme Mother Jones Remix,66R8MkRqY7jWgFxqSPj0wn,6,2023,minimal-techno,0.808,0.435,7,-20.193,1,0.0549,0.0613,0.866,0.374,0.373,122.561,376176,4
931470,Vanessa Amorosi,Shine,0w1cshxOoZvM0ZembJEEca,40,2004,dance,0.488,0.721,4,-6.62,1,0.036,0.63,2.87e-05,0.333,0.715,181.844,234733,4
835559,Goanna Gang,When The Saints Go Marching In,1y7RtwJhyNz5MB3wefm2Ug,1,2002,party,0.859,0.541,2,-10.57,1,0.0826,0.356,0.0,0.0542,0.939,97.626,112507,4
1235793,Marc Enfroy,Night On the Seine,5ii61teqTs4bVdGSiXX0DV,2,2008,new-age,0.336,0.115,2,-15.209,1,0.0324,0.973,0.912,0.102,0.0802,99.18,250733,4
24259,Amen Dunes,Ethio Song,6ewK16oJFmGQiw57n5ygIH,13,2012,garage,0.311,0.649,3,-5.664,0,0.0328,0.195,0.613,0.0696,0.359,121.911,305389,3
143987,Maceo Plex,Conjure Drama - Original Mix,3IhVdlD3CtVqyuGEytt0hB,11,2014,minimal-techno,0.73,0.472,11,-12.436,1,0.0396,0.000177,0.915,0.174,0.249,119.998,407233,4
8178,Geographer,Kaleidoscope,1nK64YOm5OzRlfGUW095MQ,15,2012,chill,0.73,0.853,8,-6.951,0,0.0746,0.0405,0.811,0.162,0.535,97.984,277560,4
442263,The Head And The Heart,Backwards Breathing,0khIahkzqdqrX4Yt3xz6FO,28,2020,folk,0.411,0.561,10,-8.748,1,0.0314,0.0753,0.0,0.281,0.351,123.801,279053,4
33036,Kryptos,Nexus Legion,5oZiRNKFotzMR882EzRorp,9,2012,indian,0.402,0.984,0,-3.589,1,0.079,2.14e-05,0.341,0.113,0.184,163.954,323333,4
136577,KXM,Rescue Me,36E9OXnpakP2o6v4oNmRDr,10,2014,hard-rock,0.578,0.848,6,-1.687,1,0.0394,0.000219,0.00712,0.0652,0.465,90.009,278000,4
785744,Bruno & Marrone,Como Eu Te Amo,4ouMsEpykUMQFpEhG6vegE,34,2001,sertanejo,0.589,0.784,4,-7.266,1,0.0313,0.204,2.99e-06,0.35,0.707,162.004,222960,4
559835,Blazing Rust,Dalniy Svet,268e7EcP5AZmW9vvPfXcmk,1,2022,heavy-metal,0.406,0.904,1,-5.928,1,0.0444,0.000266,0.334,0.426,0.428,97.046,264066,4
1318647,Cuco Valoy,El Carrito,2j4Yy7jeSEzJ36T2AIKS9b,0,2009,salsa,0.787,0.765,9,-4.896,1,0.0403,0.594,0.0,0.121,0.961,113.054,195997,4
425977,CABAL,Demagogue,124CKPET0gQG8XzRfv7FKD,11,2020,black-metal,0.237,0.974,9,-5.14,0,0.117,5.24e-05,0.0,0.917,0.104,184.781,253387,4
1169150,Madhu Balakrishnan,Ettumaanoorappaa,0ueujf1plM2hxJxhddOGYM,0,2007,pop-film,0.586,0.283,0,-11.047,0,0.0365,0.0348,0.0,0.341,0.596,92.182,247040,4
129665,Whilk & Misky,Darklands,2U85igyu5BUWrfqnUOQYrv,35,2014,french,0.815,0.521,1,-12.389,1,0.0624,0.0356,0.165,0.0978,0.544,109.995,436928,4
17503,Joe Higgs,More Slavery,5994pvrqVI4KxIKIOnwZ7u,22,2012,dub,0.697,0.333,8,-14.426,1,0.263,0.502,0.0,0.113,0.819,73.3,178260,3
1221074,Groove Soul,O Guia,1OlhBiAz3hoarplRBQOgSH,3,2008,groove,0.557,0.684,9,-7.038,0,0.115,0.554,0.0,0.145,0.749,171.763,220787,4
793184,Susana Rinaldi,Chiquilín de Bachín,6vAk5howBGTFvQPgnTLK8P,0,2001,tango,0.462,0.0565,5,-15.05,0,0.0417,0.946,1.17e-06,0.713,0.0955,92.721,279053,3
651160,Hot Snakes,Apartment 0,200A2puHoZgPUM8XDXzq8R,13,2000,hardcore,0.268,0.975,5,-5.009,1,0.149,5.03e-06,0.817,0.218,0.196,154.397,86813,5
262524,Mega Drive,Junkhead,2k3hN1bszr6EMsueuCwLBG,6,2017,club,0.77,0.836,10,-6.469,0,0.0662,9.85e-05,0.859,0.0852,0.251,113.046,266839,4
178358,Petrúcio Amorim,Gostoso Vai e Vem,7qMOZCz2T2GfI7NkWucsHi,5,2015,forro,0.559,0.726,2,-5.92,1,0.0552,0.275,0.0,0.246,0.759,151.725,176584,4
455742,Dive,Inside Your Head,7tJrdH3cQ4cqks7g443sQ2,16,2020,industrial,0.487,0.82,1,-10.322,1,0.0436,1.44e-05,0.541,0.274,0.215,108.019,266000,4
1334468,Parhelion,The Transmission,0PZmhIX4oTnPG0mUOIESmZ,22,2010,ambient,0.0785,0.164,8,-21.531,0,0.0507,0.614,0.82,0.12,0.0398,177.637,179960,3
1279191,Audiophile 021,The Last Page,2QiJUr4d4wmb8JCEXVCpVX,0,2009,dubstep,0.697,0.735,11,-12.481,1,0.0514,0.000293,0.887,0.316,0.345,114.01,259042,4
1067932,Prince Jammy,Rude Boy,4f1GpbYe1TAYTS6NJkhr4Y,39,2006,dub,0.717,0.427,7,-11.129,1,0.106,9.74e-05,0.922,0.0754,0.773,150.257,218906,4
1015306,John Earl Walker,Welcome Back Mr. Blues,3gI1HMgL3XjzYWVthYVeEv,10,2005,guitar,0.379,0.659,2,-6.335,1,0.0286,0.0336,0.00816,0.349,0.555,77.329,407573,4
367799,LOWBORN,Demons and Angels,29btqRLdovq2YXMHal5gR8,50,2019,alt-rock,0.568,0.581,1,-8.711,0,0.031,0.0012,6.2e-06,0.341,0.479,140.03,191003,4
791409,Quique González,Permiso Para Aterriza,1o7Jd4MtbS9cERWpqROI1P,9,2001,spanish,0.459,0.365,2,-8.834,1,0.0577,0.815,0.0,0.269,0.102,105.441,357013,4
